1	2	0.0436
1	4	0.0767
1	8	0.1026
2	4	0.0515
2	8	0.0866
3	5	0.0269
3	8	0.0843
4	8	0.0365
4	26	0.0915
4	47	0.2109
5	8	0.0849
6	7	0.0197
6	8	0.0683
6	13	0.0143
7	8	0.0488
7	13	0.014
8	13	0.0604
8	16	0.0239
8	23	0.0478
8	24	0.0414
8	26	0.083
8	27	0.0351
8	28	0.1099
8	30	0.0596
8	34	0.0774
8	35	0.0863
8	36	0.1093
8	37	0.1999
8	38	0.1622
8	47	0.1926
8	65	0.204
8	67	0.3284
8	112	0.3847
8	118	0.3655
8	144	0.2746
8	201	0.2654
8	248	0.3059
8	313	0.3829
9	10	0.003
9	11	0.0022
9	12	0.0037
9	13	0.0053
10	11	0.0011
10	12	0.001
10	13	0.0023
11	13	0.0033
12	13	0.002
13	14	0.0009
13	15	0.0011
13	17	0.006
13	18	0.0055
13	19	0.0095
13	20	0.0112
13	21	0.0098
16	22	0.0311
17	19	0.0038
17	20	0.0053
19	20	0.0018
22	26	0.0281
23	24	0.01
25	26	0.0057
26	29	0.0131
26	31	0.017
26	33	0.0322
26	47	0.1216
28	35	0.0425
29	31	0.0125
29	33	0.0247
29	47	0.1134
30	34	0.0184
31	32	0.0043
32	33	0.0113
33	47	0.0895
35	36	0.0232
36	38	0.0549
37	38	0.0478
39	47	0.013
39	65	0.0306
39	142	0.0835
40	45	0.018
40	46	0.0167
40	50	0.0133
40	55	0.02
40	61	0.0242
40	62	0.0377
40	144	0.0728
41	53	0.0145
41	67	0.0522
41	166	0.0831
42	47	0.0089
43	67	0.0364
44	67	0.0356
45	46	0.0314
45	47	0.0244
45	50	0.0187
45	54	0.0086
45	55	0.0299
45	58	0.0122
45	59	0.0152
45	61	0.0302
45	62	0.049
45	63	0.037
45	65	0.0323
45	67	0.1266
45	83	0.0393
45	118	0.1602
45	142	0.0655
45	144	0.0712
45	166	0.0988
45	201	0.0986
46	50	0.0149
46	55	0.009
46	62	0.0215
46	63	0.0163
46	67	0.0958
46	144	0.0641
47	48	0.0107
47	49	0.0154
47	54	0.0273
47	56	0.0122
47	58	0.0288
47	59	0.0197
47	60	0.0242
47	65	0.0178
47	67	0.1502
47	74	0.031
47	75	0.032
47	83	0.0483
47	86	0.0555
47	94	0.1804
47	109	0.2658
47	112	0.2046
47	118	0.1828
47	123	0.1841
47	131	0.2139
47	142	0.0714
47	144	0.0825
47	147	0.2535
47	150	0.2555
47	152	0.2244
47	166	0.115
47	169	0.077
47	172	0.1606
47	176	0.2078
47	177	0.2424
47	182	0.1826
47	183	0.0836
47	197	0.0929
47	201	0.0938
47	203	0.0963
47	219	0.1144
47	230	0.2408
47	232	0.2028
47	245	0.1281
47	246	0.1301
47	248	0.1305
47	253	0.1334
47	255	0.2336
47	258	0.1437
47	261	0.1894
47	263	0.1429
47	293	0.216
47	311	0.2976
47	313	0.3086
47	316	0.3074
48	49	0.0048
48	65	0.0212
49	56	0.0087
49	60	0.0119
50	55	0.0112
50	61	0.0123
50	62	0.0302
50	63	0.0185
50	67	0.1082
50	144	0.0596
50	166	0.0828
51	67	0.0267
51	82	0.0319
51	118	0.0655
51	166	0.0796
52	67	0.0194
53	67	0.0424
53	82	0.0367
53	144	0.0809
53	166	0.0701
54	58	0.0036
54	59	0.0113
54	60	0.0087
54	65	0.0301
54	83	0.0307
55	61	0.0067
55	62	0.0191
55	63	0.0089
55	144	0.0556
56	58	0.018
56	59	0.0078
56	60	0.0124
56	65	0.0141
57	69	0.0198
57	70	0.0199
57	71	0.0197
57	118	0.0435
58	59	0.0107
58	60	0.0069
58	65	0.0294
58	83	0.0271
59	60	0.0046
59	64	0.0057
59	65	0.0189
59	83	0.0297
59	144	0.0638
60	64	0.0048
60	65	0.0225
61	62	0.0201
61	63	0.007
62	63	0.0133
62	67	0.0786
62	144	0.0511
62	166	0.0605
63	67	0.0918
63	144	0.0479
63	166	0.0656
64	65	0.0191
65	66	0.0068
65	67	0.1498
65	74	0.0147
65	75	0.0143
65	83	0.0378
65	87	0.0223
65	108	0.0307
65	112	0.2025
65	116	0.0331
65	118	0.18
65	142	0.0572
65	144	0.0709
65	151	0.0485
65	166	0.1059
65	169	0.06
65	176	0.2031
65	183	0.066
65	197	0.0752
65	201	0.0761
65	203	0.0787
65	219	0.0984
65	245	0.1109
65	246	0.1131
65	248	0.1133
65	253	0.1163
65	255	0.2254
65	258	0.128
65	261	0.1779
65	263	0.1259
65	293	0.2037
66	87	0.0156
66	116	0.0271
66	151	0.0422
67	71	0.0262
67	76	0.0508
67	78	0.01
67	79	0.0138
67	82	0.0219
67	90	0.0258
67	94	0.0327
67	95	0.076
67	99	0.0435
67	109	0.1156
67	111	0.0465
67	112	0.0563
67	118	0.0388
67	119	0.1082
67	120	0.0297
67	123	0.0406
67	128	0.0321
67	131	0.0667
67	133	0.0368
67	136	0.1058
67	144	0.1033
67	146	0.1061
67	147	0.105
67	150	0.1069
67	152	0.0783
67	153	0.0829
67	159	0.0703
67	161	0.0661
67	162	0.1033
67	166	0.077
67	167	0.0607
67	172	0.054
67	174	0.1004
67	176	0.0708
67	177	0.0983
67	179	0.1005
67	182	0.0604
67	183	0.1562
67	189	0.0745
67	197	0.1629
67	201	0.1639
67	203	0.163
67	217	0.09
67	219	0.1399
67	230	0.1115
67	232	0.0954
67	233	0.1163
67	246	0.1617
67	248	0.1655
67	253	0.1651
67	255	0.1163
67	258	0.1454
67	261	0.1162
67	263	0.1685
67	274	0.1518
67	292	0.1431
67	293	0.1428
67	296	0.146
67	299	0.1685
67	301	0.1705
67	307	0.1847
67	310	0.1917
67	311	0.1939
67	313	0.3992
68	80	0.0134
68	96	0.0223
68	109	0.0259
68	118	0.1008
68	125	0.0323
68	147	0.0478
69	71	0.0084
69	73	0.0077
69	118	0.0283
70	112	0.0267
70	118	0.0289
71	73	0.003
71	77	0.0053
71	90	0.0143
71	111	0.0252
71	112	0.0326
71	118	0.024
72	96	0.0171
72	118	0.0788
72	146	0.0355
72	147	0.0365
72	152	0.0523
72	162	0.0452
72	177	0.0572
73	77	0.0026
73	90	0.0115
73	94	0.0129
73	118	0.022
74	75	0.0106
74	116	0.0203
74	201	0.0637
75	87	0.0085
75	108	0.0168
75	116	0.0202
75	151	0.0348
75	166	0.1021
75	201	0.0622
76	82	0.0325
76	98	0.0204
76	118	0.0797
76	142	0.0717
76	144	0.0551
77	94	0.0104
77	118	0.0195
78	79	0.0063
78	118	0.0298
79	118	0.025
80	101	0.0198
80	109	0.0128
80	118	0.091
80	146	0.0329
80	147	0.0344
80	152	0.0588
80	162	0.044
80	176	0.0853
80	177	0.0579
81	85	0.0069
81	118	0.1173
81	144	0.0277
81	166	0.0472
81	261	0.1239
82	106	0.0113
82	118	0.0475
82	130	0.0376
82	140	0.0261
82	144	0.0821
82	166	0.0551
82	182	0.0564
83	85	0.0211
83	86	0.0098
83	97	0.0195
83	104	0.0136
83	118	0.145
83	144	0.0343
83	166	0.0681
83	201	0.0649
83	248	0.0927
84	112	0.0131
84	118	0.0245
85	97	0.0064
85	144	0.0261
85	261	0.1272
86	144	0.0286
88	118	0.0142
89	174	0.0386
90	94	0.0075
90	112	0.0317
90	118	0.0133
90	152	0.0528
90	166	0.0855
90	182	0.0422
91	92	0.008
91	95	0.0057
91	109	0.0348
91	112	0.0302
91	118	0.0532
91	119	0.0278
91	146	0.0296
91	147	0.0293
91	150	0.0309
91	152	0.0283
91	162	0.0334
91	174	0.038
91	176	0.0527
91	177	0.0399
91	179	0.0408
91	221	0.0694
91	230	0.0773
91	255	0.0968
92	95	0.0135
92	109	0.027
92	112	0.0379
92	118	0.0611
92	119	0.0207
92	143	0.0269
92	146	0.025
92	147	0.0251
92	150	0.0264
92	152	0.0326
92	162	0.0312
92	174	0.0377
92	176	0.0584
92	179	0.0409
92	182	0.0837
92	221	0.0704
92	230	0.0793
92	255	0.0998
92	299	0.1427
93	100	0.0047
93	118	0.0232
93	152	0.0297
93	161	0.0294
94	99	0.0121
94	109	0.0863
94	112	0.0242
94	118	0.0093
94	131	0.0341
94	146	0.0745
94	147	0.0733
94	152	0.0456
94	159	0.038
94	162	0.0709
94	166	0.0917
94	172	0.0492
94	176	0.0408
94	179	0.0677
94	182	0.042
94	201	0.1827
94	217	0.0655
94	219	0.1535
94	230	0.0819
94	232	0.0762
94	248	0.1776
94	255	0.0906
94	258	0.1528
94	261	0.1068
94	263	0.1782
94	299	0.1427
94	301	0.1457
94	310	0.1661
94	311	0.1684
95	101	0.0252
95	109	0.0398
95	112	0.0245
95	118	0.0476
95	119	0.0323
95	131	0.0216
95	146	0.0323
95	147	0.0317
95	150	0.0335
95	152	0.0246
95	162	0.0343
95	174	0.0375
95	176	0.0479
95	177	0.0387
95	179	0.0399
95	221	0.0675
95	230	0.0747
95	255	0.0934
95	299	0.1392
96	118	0.0844
96	147	0.0255
96	152	0.0505
96	162	0.0351
96	177	0.0489
97	104	0.0105
98	144	0.0347
99	112	0.0128
99	118	0.0149
99	147	0.0616
99	152	0.0354
99	161	0.0293
99	167	0.0305
99	176	0.037
100	111	0.0071
100	112	0.0083
100	118	0.0186
100	137	0.0175
100	152	0.0312
100	161	0.0276
101	112	0.0489
101	118	0.0722
101	129	0.012
101	146	0.0189
101	152	0.0392
101	162	0.0285
101	174	0.0372
101	176	0.0657
